"External ID","Account/Name","Amount","Description","Discount (%)","Invoice Reference/Invoice Reference","Invoice Reference/Invoice Number","Partner/Name","Product/Name","Quantity","Sequence","Source Document","Taxes/Tax Code","Unit Price","Unit of Measure/Unit of Measure","Invoice Reference/Old Name"
"__export__.account_invoice_line_12852","Sales - JMD","230.0","Coach D/F Mesh Polo shirts : S-3 M-6 L-6 XL-2 XXL-3","","","INV/2014/0129","Aquarian Aquatic School","Corporate Gifts #1","20.0","","","SR","11.5","Unit(s)",""
"__export__.account_invoice_line_12854","Sales - Products","100.23","[1.05.145.04] Agility Paddle Small","45.0","SO073","INV/2014/0133","MotionSports","Agility Paddle Small","5.0","10","SO073","SR C","39.0","Unit(s)",""
"__export__.account_invoice_line_12855","Sales - Products","100.23","[1.05.145.05] Agility Paddle Medium","45.0","SO073","INV/2014/0133","MotionSports","Agility Paddle Medium","5.0","10","SO073","SR C","39.0","Unit(s)",""
"__export__.account_invoice_line_12856","Sales - Products","194.86","[STRV01-004-0A] Striiv Touch - Black","25.0","SO073","INV/2014/0133","MotionSports","Striiv Touch - Black","2.0","10","SO073","SR C","139.0","Unit(s)",""
"__export__.account_invoice_line_12857","Sales - Products","270.09","[Withings Body Scale WS-50] Withings Body Scale WS-50","","SO074","INV/2014/0134","VISA","Withings Body Scale WS-50","1.0","10","SO074","SR C","289.0","Unit(s)",""
"__export__.account_invoice_line_12858","Sales - Products","88.79","[1.30.032] 3X100M Stopwatch","","SO074","INV/2014/0134","VISA","3X100M Stopwatch","1.0","10","SO074","SR C","95.0","Unit(s)",""
"__export__.account_invoice_line_12859","Sales - Products","64.49","[1.05.001] Freestyle Snorkel","","SO074","INV/2014/0134","VISA","Freestyle Snorkel","1.0","10","SO074","SR C","69.0","Unit(s)",""
"__export__.account_invoice_line_12860","Sales - Products","49.07","[2.35.004.74] Z2 Gold G","30.0","Coach Garett","INV/2014/0135","CASH SALE","Z2 Gold G","1.0","10","SO075","SR C","75.0","Unit(s)",""
"__export__.account_invoice_line_12861","Sales - Products","49.07","[2.35.004.72] Z2 Gold E","30.0","Coach Garett","INV/2014/0135","CASH SALE","Z2 Gold E","1.0","10","SO075","SR C","75.0","Unit(s)",""
"__export__.account_invoice_line_12862","Sales - Products","92.52","[WFBTHR02] Wahoo Fitness TICKR","","Coach Garett","INV/2014/0135","CASH SALE","Wahoo Fitness TICKR","1.0","10","SO075","SR C","99.0","Unit(s)",""
"__export__.account_invoice_line_12863","Sales - Products","194.31","[LTK7C3001P1] LifeTrak C300","","SO076","INV/2014/0136","A Mobile Pte Ltd","LifeTrak C300","3.0","10","SO076","SR","64.77","Unit(s)",""
"__export__.account_invoice_line_12864","Sales - Products","327.12","[LTK7C4102P3] LifeTrak C410","","SO076","INV/2014/0136","A Mobile Pte Ltd","LifeTrak C410","4.0","10","SO076","SR","81.78","Unit(s)",""
"__export__.account_invoice_line_12865","Sales - Products","194.31","[LTK7C3001P1] LifeTrak C300","","SO077","INV/2014/0137","A Mobile Pte Ltd","LifeTrak C300","3.0","10","SO077","SR","64.77","Unit(s)",""
"__export__.account_invoice_line_12866","Sales - Products","245.34","[LTK7C4102P3] LifeTrak C410","","SO077","INV/2014/0137","A Mobile Pte Ltd","LifeTrak C410","3.0","10","SO077","SR","81.78","Unit(s)",""
"__export__.account_invoice_line_12867","Sales - Products","194.31","[LTK7C3001P1] LifeTrak C300","","SO078","INV/2014/0138","A Mobile Pte Ltd","LifeTrak C300","3.0","10","SO078","SR","64.77","Unit(s)",""
"__export__.account_invoice_line_12868","Sales - Products","163.56","[LTK7C4102P3] LifeTrak C410","","SO078","INV/2014/0138","A Mobile Pte Ltd","LifeTrak C410","2.0","10","SO078","SR","81.78","Unit(s)",""
"__export__.account_invoice_line_12869","Sales - Products","129.54","[LTK7C3001P1] LifeTrak C300","","SO079","INV/2014/0139","A Mobile Pte Ltd","LifeTrak C300","2.0","10","SO079","SR","64.77","Unit(s)",""
"__export__.account_invoice_line_12870","Sales - Products","163.56","[LTK7C4102P3] LifeTrak C410","","SO079","INV/2014/0139","A Mobile Pte Ltd","LifeTrak C410","2.0","10","SO079","SR","81.78","Unit(s)",""
"__export__.account_invoice_line_12871","Sales - Products","181.86","[STRV01-004-0A] Striiv Touch - Black","","SO079","INV/2014/0139","A Mobile Pte Ltd","Striiv Touch - Black","2.0","10","SO079","SR","90.93","Unit(s)",""
"__export__.account_invoice_line_12872","Sales - Products","129.54","[LTK7C3001P1] LifeTrak C300","","SO080","INV/2014/0140","A Mobile Pte Ltd","LifeTrak C300","2.0","10","SO080","SR","64.77","Unit(s)",""
"__export__.account_invoice_line_12873","Sales - Products","163.56","[LTK7C4102P3] LifeTrak C410","","SO080","INV/2014/0140","A Mobile Pte Ltd","LifeTrak C410","2.0","10","SO080","SR","81.78","Unit(s)",""
